epoch,categorical_accuracy,loss,lr,sensitivity,specificity,val_categorical_accuracy,val_loss,val_sensitivity,val_specificity
0,0.22333332896232605,2.215409517288208,1e-04,0.10499999672174454,0.9343332648277283,0.36666667461395264,1.5508453845977783,0.02302631549537182,0.9986842274665833
1,0.2966666519641876,1.9259836673736572,1e-04,0.1599999964237213,0.9370000958442688,0.3866666555404663,1.483328938484192,0.11513157933950424,0.9888157844543457
2,0.335833340883255,1.8309420347213745,1e-04,0.18666666746139526,0.9356666803359985,0.3766666650772095,1.4675449132919312,0.1743421107530594,0.9809210896492004
3,0.35749998688697815,1.7203181982040405,1e-04,0.23416666686534882,0.939666748046875,0.39666667580604553,1.4485291242599487,0.19078947603702545,0.9756579399108887
4,0.38749998807907104,1.6725560426712036,1e-04,0.2433333396911621,0.9411664605140686,0.3866666555404663,1.446321964263916,0.20394736528396606,0.9717105031013489
